Semester,Score,Score Range
2.2014-2015,8.5,8to10
2.2014-2015,9,8to10
2.2014-2015,9,8to10
2.2014-2015,9.3,8to10
2.2014-2015,8,8to10
2.2014-2015,9,8to10
2.2014-2015,7.3,5to8
2.2014-2015,8,8to10
2.2014-2015,7,5to8
2.2014-2015,7.8,5to8
2.2014-2015,8.3,8to10
2.2014-2015,7,5to8
2.2014-2015,8,8to10
2.2014-2015,8,8to10
2.2014-2015,9,8to10
2.2014-2015,8,8to10
2.2014-2015,8,8to10
2.2014-2015,8.1,8to10
2.2014-2015,8,8to10
2.2014-2015,8,8to10
2.2014-2015,8.3,8to10
2.2014-2015,8.3,8to10
2.2014-2015,7.3,5to8
2.2014-2015,9,8to10
2.2014-2015,8,8to10
2.2014-2015,8.3,8to10
2.2014-2015,7,5to8
2.2014-2015,8,8to10
2.2014-2015,9,8to10
2.2014-2015,9,8to10
2.2014-2015,8.2,8to10
2.2013-2014,9,8to10
2.2014-2015,9,8to10
2.2014-2015,9,8to10
2.2014-2015,6.8,5to8
2.2014-2015,8.8,8to10
2.2014-2015,9,8to10
2.2014-2015,8,8to10
2.2014-2015,9,8to10
2.2014-2015,9.3,8to10
2.2014-2015,7,5to8
2.2014-2015,8,8to10
2.2014-2015,7.3,5to8
2.2014-2015,8,8to10
2.2014-2015,9.2,8to10
2.2014-2015,9.2,8to10
2.2014-2015,9.5,8to10
2.2014-2015,10,8to10
2.2014-2015,9,8to10
2.2014-2015,6.8,5to8
2.2014-2015,7.8,5to8
2.2014-2015,8,8to10
2.2014-2015,8,8to10
2.2014-2015,7.5,5to8
2.2014-2015,8,8to10
2.2014-2015,9.3,8to10
2.2014-2015,8,8to10
2.2014-2015,8,8to10
2.2014-2015,6.8,5to8
2.2014-2015,8,8to10
2.2014-2015,7.3,5to8
2.2014-2015,8,8to10
2.2013-2014,9,8to10
2.2013-2014,8.1,8to10
2.2014-2015,8.7,8to10
2.2013-2014,8.7,8to10
2.2013-2014,9,8to10
2.2013-2014,8.1,8to10
2.2013-2014,9,8to10
2.2013-2014,9,8to10
2.2012-2013,9.3,8to10
2.2013-2014,8.1,8to10
2.2013-2014,8.8,8to10
2.2013-2014,9.3,8to10
2.2013-2014,9.3,8to10
2.2013-2014,9,8to10
2.2013-2014,9,8to10
2.2013-2014,9.3,8to10
2.2013-2014,8.7,8to10
2.2013-2014,6.8,5to8
2.2013-2014,9,8to10
2.2013-2014,8.4,8to10
2.2013-2014,9,8to10
2.2013-2014,9.3,8to10
2.2013-2014,8.1,8to10
2.2013-2014,8.4,8to10
2.2013-2014,9.3,8to10
2.2013-2014,8.1,8to10
2.2013-2014,8.7,8to10
2.2013-2014,8.1,8to10
2.2013-2014,9.3,8to10
2.2013-2014,8.7,8to10
2.2013-2014,8.7,8to10
2.2013-2014,8,8to10
2.2013-2014,9,8to10
2.2013-2014,8.1,8to10
2.2013-2014,9.2,8to10
2.2012-2013,9.2,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,9.2,8to10
2.2012-2013,9.2,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,9.2,8to10
2.2013-2014,8.5,8to10
2.2012-2013,9.3,8to10
2.2013-2014,8.5,8to10
2.2012-2013,8.5,8to10
2.2012-2013,8.2,8to10
2.2011-2012,8.8,8to10
2.2011-2012,9.7,8to10
2.2011-2012,9.1,8to10
2.2011-2012,7.3,5to8
2.2011-2012,9.1,8to10
2.2011-2012,9.1,8to10
2.2011-2012,8.3,8to10
2.2011-2012,7.2,5to8
2.2011-2012,9.1,8to10
2.2011-2012,7.4,5to8
2.2011-2012,8.7,8to10
2.2011-2012,8.8,8to10
2.2011-2012,8.7,8to10
2.2012-2013,7.4,5to8
2.2011-2012,7.3,5to8
