Semester,Score,Score Range
2.2014-2015,9,8to10
2.2014-2015,8.2,8to10
2.2014-2015,8.8,8to10
2.2014-2015,9.1,8to10
2.2014-2015,8.1,8to10
2.2014-2015,9.1,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,0,0to5
1.2015-2016,7.9,5to8
2.2014-2015,8.2,8to10
2.2014-2015,8,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,0,0to5
2.2014-2015,8.7,8to10
1.2014-2015,9.4,8to10
2.2014-2015,9,8to10
2.2014-2015,8.3,8to10
2.2014-2015,8.4,8to10
2.2014-2015,8.7,8to10
2.2014-2015,9.2,8to10
2.2014-2015,8.2,8to10
2.2014-2015,8.3,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,8.2,8to10
2.2014-2015,8,8to10
2.2014-2015,7.8,5to8
2.2014-2015,0,0to5
1.2015-2016,8.5,8to10
2.2014-2015,7.9,5to8
2.2014-2015,7.5,5to8
2.2014-2015,9,8to10
2.2014-2015,8.5,8to10
2.2014-2015,8,8to10
2.2014-2015,8.3,8to10
2.2014-2015,9.3,8to10
2.2014-2015,7.2,5to8
2.2014-2015,9,8to10
2.2014-2015,8.8,8to10
2.2014-2015,8.7,8to10
2.2014-2015,9.3,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,8.3,8to10
2.2014-2015,8.7,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,8.8,8to10
2.2014-2015,7.7,5to8
2.2014-2015,8.4,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,9.1,8to10
2.2014-2015,8.3,8to10
2.2014-2015,8.4,8to10
2.2014-2015,8.5,8to10
2.2014-2015,8.6,8to10
2.2014-2015,0,0to5
1.2015-2016,8.6,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,8.2,8to10
2.2014-2015,0,0to5
2.2014-2015,8.7,8to10
2.2014-2015,9.1,8to10
2.2014-2015,7.8,5to8
2.2014-2015,0,0to5
1.2015-2016,9.3,8to10
2.2014-2015,8.5,8to10
2.2014-2015,0,0to5
1.2015-2016,8.1,8to10
2.2014-2015,8.3,8to10
2.2014-2015,0,0to5
1.2015-2016,7.2,5to8
2.2014-2015,0,0to5
2.2014-2015,8.7,8to10
2.2014-2015,9.4,8to10
2.2014-2015,9.2,8to10
2.2014-2015,8.6,8to10
2.2014-2015,8.7,8to10
2.2014-2015,9.3,8to10
2.2014-2015,0,0to5
2.2014-2015,8.7,8to10
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,8.7,8to10
2.2014-2015,0,0to5
2.2014-2015,0,0to5
1.2015-2016,3.5,0to5
2.2014-2015,0,0to5
1.2015-2016,7.8,5to8
2.2014-2015,8.8,8to10
2.2014-2015,7.9,5to8
2.2014-2015,0,0to5
2.2014-2015,8.8,8to10
2.2014-2015,0,0to5
2.2014-2015,8.5,8to10
2.2014-2015,8.8,8to10
2.2014-2015,8.2,8to10
2.2014-2015,9.5,8to10
2.2014-2015,8.7,8to10
2.2014-2015,8.4,8to10
2.2013-2014,9,8to10
2.2013-2014,8.3,8to10
1.2014-2015,8.8,8to10
2.2013-2014,9.2,8to10
2.2013-2014,9,8to10
2.2013-2014,8,8to10
2.2013-2014,8.8,8to10
2.2013-2014,8.2,8to10
2.2013-2014,8.4,8to10
2.2013-2014,8.3,8to10
2.2013-2014,8.6,8to10
2.2013-2014,8,8to10
2.2013-2014,8.1,8to10
2.2013-2014,8.5,8to10
2.2013-2014,8.5,8to10
2.2013-2014,8.2,8to10
2.2013-2014,8.5,8to10
2.2013-2014,0,0to5
2.2013-2014,0,0to5
2.2013-2014,8.7,8to10
2.2013-2014,8.4,8to10
2.2013-2014,9.1,8to10
2.2013-2014,9,8to10
2.2013-2014,8.9,8to10
2.2013-2014,7.2,5to8
