Semester,Score,Score Range
2.2014-2015,6.6,5to8
2.2014-2015,5.6,5to8
2.2014-2015,4.8,0to5
2.2014-2015,0,0to5
2.2012-2013,0,0to5
1.2013-2014,7.1,5to8
1.2013-2014,7.4,5to8
2.2012-2013,6.1,5to8
2.2012-2013,5.6,5to8
2.2013-2014,6.8,5to8
2.2012-2013,8,8to10
1.2011-2012,10,8to10
1.2011-2012,9.5,8to10
1.2011-2012,8,8to10
1.2011-2012,10,8to10
1.2011-2012,9.5,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,7,5to8
1.2011-2012,8.5,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,8.5,8to10
1.2011-2012,10,8to10
1.2011-2012,8.6,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,9.5,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,8.5,8to10
1.2011-2012,8.5,8to10
1.2011-2012,8.5,8to10
1.2011-2012,0,0to5
1.2011-2012,6.5,5to8
1.2011-2012,9,8to10
1.2011-2012,10,8to10
1.2011-2012,9,8to10
1.2011-2012,8.5,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9.8,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,7,5to8
1.2011-2012,8.5,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,8,8to10
1.2011-2012,9.5,8to10
1.2011-2012,0,0to5
1.2011-2012,8.5,8to10
1.2011-2012,9.5,8to10
1.2011-2012,9,8to10
1.2011-2012,9.2,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,4.6,0to5
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,0,0to5
1.2011-2012,9.8,8to10
1.2011-2012,10,8to10
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,9.2,8to10
1.2011-2012,9.5,8to10
1.2011-2012,8.5,8to10
1.2011-2012,10,8to10
1.2011-2012,8,8to10
1.2011-2012,7,5to8
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,10,8to10
1.2011-2012,9,8to10
1.2011-2012,9.5,8to10
1.2011-2012,8,8to10
1.2011-2012,10,8to10
1.2011-2012,10,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9.8,8to10
1.2011-2012,9,8to10
1.2011-2012,9.5,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,8.5,8to10
1.2011-2012,8,8to10
1.2011-2012,7,5to8
1.2011-2012,8,8to10
1.2011-2012,0,0to5
2.2010-2011,7,5to8
1.2011-2012,9.5,8to10
1.2011-2012,8.5,8to10
1.2011-2012,8,8to10
1.2011-2012,7,5to8
1.2011-2012,0,0to5
1.2011-2012,0,0to5
2.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,4.8,0to5
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,8,8to10
1.2011-2012,9,8to10
2.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,9.5,8to10
1.2011-2012,7,5to8
1.2011-2012,8,8to10
1.2011-2012,8.5,8to10
1.2011-2012,0,0to5
1.2011-2012,8.5,8to10
1.2011-2012,8,8to10
1.2011-2012,8.5,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,8.5,8to10
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,0,0to5
1.2011-2012,9,8to10
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,7.5,5to8
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,8.5,8to10
1.2011-2012,0,0to5
1.2011-2012,8,8to10
1.2011-2012,9,8to10
1.2011-2012,9.3,8to10
1.2011-2012,0,0to5
2.2010-2011,9,8to10
1.2011-2012,9,8to10
1.2011-2012,9,8to10
1.2011-2012,8.5,8to10
1.2011-2012,9,8to10
1.2011-2012,8.5,8to10
1.2011-2012,8.5,8to10
2.2012-2013,4.4,0to5
1.2010-2011,0,0to5
1.2010-2011,5.2,5to8
